CropType,SoilMoisture,temperature,Humidity,Irrigation
Wheat,400,30,15,0
Wheat,200,30,32,0
Wheat,300,21,28,0
Wheat,500,40,22,0
Wheat,700,23,34,0
Wheat,800,21,29,0
Wheat,500,33,26,0
Wheat,350,21,28,0
Wheat,123,17,45,0
Wheat,543,25,53,0
Wheat,425,33,22,0
Wheat,555,32,55,0
Wheat,649,29,61,0
Wheat,230,28,71,0
Wheat,430,23,72,0
Wheat,330,31,80,0
Wheat,432,22,34,1
Wheat,210,26,50,0
Wheat,150,22,30,0
Wheat,600,40,30,1
Wheat,700,41,30,1
Wheat,200,22,34,0
Wheat,350,34,43,0
Wheat,700,37,32,1
Wheat,220,34,32,0
Wheat,400,34,32,0
Wheat,800,34,32,1
Wheat,700,30,22,1
Wheat,350,23,21,0
Wheat,570,23,15,0
Wheat,880,22,15,1
Wheat,700,21,15,1
Wheat,300,20,14,0
Wheat,730,21,13,1
Wheat,400,19,12,0
Wheat,700,19,12,0
Wheat,800,23,16,1
Wheat,930,22,15,1
Wheat,250,21,15,0
Wheat,990,21,15,1
Wheat,660,23,15,0
Wheat,700,25,17,1
Wheat,990,24,19,1
Wheat,600,23,15,0
Wheat,450,21,14,0
Wheat,850,22,16,1
Wheat,200,21,17,0
Wheat,770,23,18,1
Wheat,300,25,19,0
Wheat,690,22,18,1
Wheat,300,21,14,0
Wheat,880,22,15,1
Wheat,300,26,18,0
Wheat,760,27,19,1
Wheat,400,25,18,0
Wheat,600,29,15,1
Wheat,300,27,12,0
Wheat,720,28,19,1
Wheat,230,30,29,0
Wheat,306,32,67,0
Wheat,601,35,35,1
Wheat,340,23,32,0
Wheat,990,32,34,1
Wheat,550,28,40,0
Wheat,750,29,38,1
Wheat,850,25,32,1
Wheat,670,35,45,0
Wheat,990,34,26,1
Wheat,300,32,44,0
Wheat,600,22,21,0
Wheat,800,33,31,0
Wheat,400,23,27,0
Wheat,667,24,34,0
Wheat,880,34,33,0
Wheat,980,23,22,0
Wheat,775,32,21,0
Wheat,832,33,32,0
Wheat,677,32,45,0
Groundnuts,580,23,56,1
